ID	label_en	synonym_en	label_ja	synonym_ja
NANDO:1200001	[指定] Spinal and bulbar muscular atrophy	SBMA | Kennedy disease	[指定] 球脊髄性筋萎縮症	Kennedy-Alter-Sung症候群 | KAS
NANDO:1200002	[指定] Amyotrophic lateral sclerosis	ALS	[指定] 筋萎縮性側索硬化症	
NANDO:1200003	[指定] Spinal muscular atrophy	SMA	[指定] 脊髄性筋萎縮症	
NANDO:1200004	[指定] Spinal muscular atrophy type I	Werdnig-Hoffmann disease | SMA I | SMA type I	[指定] 脊髄性筋萎縮症I型	ウェルドニッヒ・ホフマン病 | 急性乳児型SMA
NANDO:1200005	[指定] Spinal muscular atrophy type II	SMA II | Dubowitz disease | SMA type II	[指定] 脊髄性筋萎縮症II型	デュボビッツ病 | 慢性乳児型SMA | ドュボウィツ症候群
NANDO:1200006	[指定] Spinal muscular atrophy type III	SMA III | Kugelberg-Welander disease | SMA type III	[指定] 脊髄性筋萎縮症III型	クーゲンベルグ・ウェランダー病 | 若年型SMA | 慢性型SMA | Kugelberg-Welander病
NANDO:1200007	[指定] Spinal muscular atrophy type IV	SMA IV	[指定] 脊髄性筋萎縮症IV型	成人型SMA | 成人発症型
NANDO:1200008	[指定] Primary lateral sclerosis	PLS	[指定] 原発性側索硬化症	
NANDO:1200009	[指定] Progressive supranuclear palsy	PSP	[指定] 進行性核上性麻痺	
NANDO:1200010	[指定] Parkinson's disease	Parkinson disease | PD	[指定] パーキンソン病	
NANDO:1200011	[指定] Corticobasal degeneration	CBD	[指定] 大脳皮質基底核変性症	
NANDO:1200012	[指定] Huntington's disease	Huntington disease	[指定] ハンチントン病	
NANDO:1200013	[指定] Neuroacanthocytosis		[指定] 神経有棘赤血球症	
NANDO:1200014	[指定] Chorea-acanthocytosis	Choreoacanthocytosis | ChAc	[指定] 有棘赤血球舞踏病	
NANDO:1200015	[指定] McLeod syndrome	MLS	[指定] Mcleod症候群	マクロード症候群
NANDO:1200016	[指定] Charcot-Marie-Tooth disease	CMT	[指定] シャルコー・マリー・トゥース病	
NANDO:1200017	[指定] Charcot-Marie-Tooth disease type 1	CMT1	[指定] 脱髄型シャルコー・マリー・トゥース病	脱髄型CMT
NANDO:1200018	[指定] Charcot-Marie-Tooth disease type 2	CMT2	[指定] 軸索型シャルコー・マリー・トゥース病	軸索型CMT
NANDO:1200019	[指定] Intermediate Charcot-Marie-Tooth disease	Intermediate CMT	[指定] 中間型シャルコー・マリー・トゥース病	中間型CMT
NANDO:1200020	[指定] Myasthenia gravis	MG	[指定] 重症筋無力症	
NANDO:1200021	[指定] Congenital myasthenic syndrome	CMS	[指定] 先天性筋無力症候群	
NANDO:1200022	[指定] Multiple sclerosis/Neuromyelitis optica spectrum disorders	MS/NMOSD | Multiple sclerosis/Neuromyelitis optica | MS/NMO	[指定] 多発性硬化症／視神経脊髄炎	
NANDO:1200023	[指定] Multiple sclerosis	MS	[指定] 多発性硬化症	
NANDO:1200024	[指定] Relapsing-remitting multiple sclerosis	relapsing-remitting MS | RRMS	[指定] 再発寛解型多発性硬化症	再発寛解型MS | 再発型MS
NANDO:1200025	[指定] Primary progressive multiple sclerosis	primary progressive MS | PPMS	[指定] 一次性進行型多発性硬化症	一次性進行型MS
NANDO:1200026	[指定] Secondary progressive multiple sclerosis	secondary progressive MS | SPMS	[指定] 二次性進行型多発性硬化症	二次性進行型MS
NANDO:1200027	[指定] Neuromyelitis optica spectrum disorders	NMOSD	[指定] 視神経脊髄炎	
NANDO:1200028	[指定] Baló concentric sclerosis	Baló's disease | BCS	[指定] Baló病	バロー同心円硬化症
NANDO:1200029	[指定] Chronic inflammatory demyelinating polyneuropathy/Multifocal motor neuropathy	CIDP/MMN	[指定] 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー	
NANDO:1200030	[指定] Chronic inflammatory demyelinating polyneuropathy	CIDP	[指定] 慢性炎症性脱髄性多発神経炎	
NANDO:1200031	[指定] Multifocal motor neuropathy	MMN	[指定] 多巣性運動ニューロパチー	
NANDO:1200032	[指定] Sporadic inclusion body myositis	sIBM	[指定] 封入体筋炎	
NANDO:1200033	[指定] Crow-Fukase syndrome	POEMS syndrome | Polyneuropathy, organomegaly, endocrinopathy, M-protein, and skin changes syndrome	[指定] クロウ・深瀬症候群	POEMS症候群
NANDO:1200034	[指定] Multiple system atrophy	MSA	[指定] 多系統萎縮症	
NANDO:1200035	[指定] Multiple system atrophy, cerebellar type	Multiple system atrophy, cerebellar variant | MSA-C	[指定] MSA-C	小脳失調優位型
NANDO:1200036	[指定] Multiple system atrophy, Parkinsonian type	Multiple system atrophy, parkinsonian variant | MSA-P	[指定] MSA-P	
NANDO:1200037	[指定] Spinocerebellar degeneration	SCD	[指定] 脊髄小脳変性症	
NANDO:1200038	[指定] Sporadic spinocerebellar degeneration		[指定] 孤発性脊髄小脳変性症	
NANDO:1200039	[指定] Cortical cerebellar atrophy	CCA	[指定] 皮質性小脳萎縮症	
NANDO:1200040	[指定] Autosomal dominant hereditary spinocerebellar degeneration		[指定] 常染色体優性遺伝性脊髄小脳変性症	
NANDO:1200041	[指定] Spinocerebellar ataxia type 3	Machado-Joseph disease | MJD | SCA3	[指定] 脊髄小脳失調症３型	マチャド・ジョセフ病
NANDO:1200042	[指定] Spinocerebellar ataxia type 6	SCA6	[指定] 脊髄小脳失調症６型	
NANDO:1200043	[指定] Dentatorubropallidoluysian atrophy	Dentatorubral-pallidoluysian atrophy | DRPLA	[指定] 歯状核赤核淡蒼球ルイ体萎縮症	
NANDO:1200044	[指定] Spinocerebellar ataxia type 31	SCA31	[指定] 脊髄小脳失調症３１型	
NANDO:1200045	[指定] Spinocerebellar ataxia type 1	SCA1	[指定] 脊髄小脳失調症１型	
NANDO:1200046	[指定] Spinocerebellar ataxia type 2	SCA2	[指定] 脊髄小脳失調症２型	
NANDO:1200047	[指定] Spinocerebellar ataxia type 7	SCA7	[指定] 脊髄小脳失調症７型	
NANDO:1200048	[指定] Spinocerebellar ataxia type 36	SCA36	[指定] 脊髄小脳失調症３６型	
NANDO:1200049	[指定] Autosomal recessive hereditary spinocerebellar degeneration		[指定] 常染色体劣性遺伝性脊髄小脳変性症	
NANDO:1200050	[指定] Ataxia with isolated vitamin E deficiency	AVED	[指定] ビタミンE単独欠乏性失調症	
NANDO:1200051	[指定] Ataxia-oculomotor apraxia type 1	AOA1 | Early-onset ataxia with ocular motor apraxia and hypoalbuminemia | EAOH	[指定] アプラタキシン欠損症	眼球運動失行を伴う失調症 | 低アルブミン血症を伴う早発型脊髄小脳変性症
NANDO:1200052	[指定] Hereditary spastic paraplegia	HSP	[指定] 痙性対麻痺	
NANDO:1200053	[指定] Pure hereditary spastic paraplegia		[指定] 痙性対麻痺（純粋型）	
NANDO:1200054	[指定] Complex hereditary spastic paraplegia		[指定] 痙性対麻痺（複合型）	
NANDO:1200055	[指定] Lysosomal storage disease		[指定] ライソゾーム病	
NANDO:1200056	[指定] Gaucher disease		[指定] ゴーシェ病	Gaucher病
NANDO:1200057	[指定] Gaucher disease type 1	GD type 1	[指定] ゴーシェ病１型	Gaucher病1型
NANDO:1200058	[指定] Gaucher disease type 2		[指定] ゴーシェ病２型	Gaucher病2型
NANDO:1200059	[指定] Gaucher disease type 3		[指定] ゴーシェ病３型	Gaucher病3型
